Folder,Protocol,protocol_path,clean_protocol_path,clean_protocol_url
Wet Bench,ARES Lab Sanitation Standard Operating Procedures (1).docx,Wet Bench/ARES Lab Sanitation Standard Operating Procedures (1).docx,wet_bench/ares_lab_sanitation_standard_operating_procedures_(1).docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/ares_lab_sanitation_standard_operating_procedures_(1).docx
Wet Bench,ARES SOP Template.docx,Wet Bench/ARES SOP Template.docx,wet_bench/ares_sop_template.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/ares_sop_template.docx
Wet Bench,Bacterial Colony PCR Protocol.docx,Wet Bench/Bacterial Colony PCR Protocol.docx,wet_bench/bacterial_colony_pcr_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/bacterial_colony_pcr_protocol.docx
Wet Bench,CRE Bio-Banking Lab Protocol.docx,Wet Bench/CRE Bio-Banking Lab Protocol.docx,wet_bench/cre_bio-banking_lab_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/cre_bio-banking_lab_protocol.docx
Wet Bench,DECON RNA Extraction Protocol.docx,Wet Bench/DECON RNA Extraction Protocol.docx,wet_bench/decon_rna_extraction_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/decon_rna_extraction_protocol.docx
Wet Bench,DECON SARS-CoV-2 qPCR Lab Protocol.docx,Wet Bench/DECON SARS-CoV-2 qPCR Lab Protocol.docx,wet_bench/decon_sars-cov-2_qpcr_lab_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/decon_sars-cov-2_qpcr_lab_protocol.docx
Wet Bench,DNA Extraction Protocol using QIAamp DNA Micro kit 9.docx,Wet Bench/DNA Extraction Protocol using QIAamp DNA Micro kit 9.docx,wet_bench/dna_extraction_protocol_using_qiaamp_dna_micro_kit_9.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/dna_extraction_protocol_using_qiaamp_dna_micro_kit_9.docx
Wet Bench,Fecal Filtrate Flow Protocol.docx,Wet Bench/Fecal Filtrate Flow Protocol.docx,wet_bench/fecal_filtrate_flow_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/fecal_filtrate_flow_protocol.docx
Wet Bench,ICEMAN Lab Protocol.docx,Wet Bench/ICEMAN Lab Protocol.docx,wet_bench/iceman_lab_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/iceman_lab_protocol.docx
Wet Bench,IMPALA CRE PCR Protocol.docx,Wet Bench/IMPALA CRE PCR Protocol.docx,wet_bench/impala_cre_pcr_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/impala_cre_pcr_protocol.docx
Wet Bench,IMPALA ESBL PCR Protocol.docx,Wet Bench/IMPALA ESBL PCR Protocol.docx,wet_bench/impala_esbl_pcr_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/impala_esbl_pcr_protocol.docx
Wet Bench,INTEGRATE Lab Protocol.docx,Wet Bench/INTEGRATE Lab Protocol.docx,wet_bench/integrate_lab_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/integrate_lab_protocol.docx
Wet Bench,Lab Protocol Template.docx,Wet Bench/Lab Protocol Template.docx,wet_bench/lab_protocol_template.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/lab_protocol_template.docx
Wet Bench,MALDI FLEXPREP SOP.docx,Wet Bench/MALDI FLEXPREP SOP.docx,wet_bench/maldi_flexprep_sop.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/maldi_flexprep_sop.docx
Wet Bench,MERLIN Lab SOP.docx,Wet Bench/MERLIN Lab SOP.docx,wet_bench/merlin_lab_sop.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/merlin_lab_sop.docx
Wet Bench,mVACS & MIMIC SOP.docx,Wet Bench/mVACS & MIMIC SOP.docx,wet_bench/mvacs_&_mimic_sop.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/mvacs_&_mimic_sop.docx
Wet Bench,PMT RT-qPCR Whole Virus Protocol V2.docx,Wet Bench/PMT RT-qPCR Whole Virus Protocol V2.docx,wet_bench/pmt_rt-qpcr_whole_virus_protocol_v2.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/pmt_rt-qpcr_whole_virus_protocol_v2.docx
Wet Bench,Pseudomonas DNA Extraction Protocol.docx,Wet Bench/Pseudomonas DNA Extraction Protocol.docx,wet_bench/pseudomonas_dna_extraction_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/pseudomonas_dna_extraction_protocol.docx
Wet Bench,QS5 TRAINING 2020.pdf,Wet Bench/QS5 TRAINING 2020.pdf,wet_bench/qs5_training_2020.pdf,https://bjklab.github.io/motionlab-site/protocols/wet_bench/qs5_training_2020.pdf
Wet Bench,SENSITITRE Assay Protocol.docx,Wet Bench/SENSITITRE Assay Protocol.docx,wet_bench/sensititre_assay_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/sensititre_assay_protocol.docx
Wet Bench,SOTDDI Lab Protocol.docx,Wet Bench/SOTDDI Lab Protocol.docx,wet_bench/sotddi_lab_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/sotddi_lab_protocol.docx
Wet Bench,Sputum FACS Protocol.docx,Wet Bench/Sputum FACS Protocol.docx,wet_bench/sputum_facs_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/sputum_facs_protocol.docx
Wet Bench,Sputum-derived bacteriophage enumeration via FCM protocol.docx,Wet Bench/Sputum-derived bacteriophage enumeration via FCM protocol.docx,wet_bench/sputum-derived_bacteriophage_enumeration_via_fcm_protocol.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/sputum-derived_bacteriophage_enumeration_via_fcm_protocol.docx
Wet Bench,SToP-CDI Lab Procedure.docx,Wet Bench/SToP-CDI Lab Procedure.docx,wet_bench/stop-cdi_lab_procedure.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/stop-cdi_lab_procedure.docx
Wet Bench,TSBw20%glycerol SOP.docx,Wet Bench/TSBw20%glycerol SOP.docx,wet_bench/tsbw20_glycerol_sop.docx,https://bjklab.github.io/motionlab-site/protocols/wet_bench/tsbw20_glycerol_sop.docx
